gmr_left_hwp1
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  478.333;  409.495;    6.613
289.143;  399.437;  334.741;   14.216
289.742;  504.774;  438.471;   11.816
290.341;  478.576;  418.127;   -4.936
290.940;  437.887;  374.571;    0.852
291.538;  547.302;  486.444;    1.792
292.137;  485.243;  414.837;    6.262
292.736;  618.909;  548.261;    8.164
293.335;  440.893;  380.904;   -6.418
293.934;  470.218;  413.615;   -2.904
294.532;  651.858;  601.463;   -5.162
295.131;  520.039;  463.325;  -10.283
295.730;  507.716;  447.004;  -16.141
296.328;  484.874;  435.754;  -14.740
296.927;  478.427;  428.130;   -8.768
297.525;  479.090;  423.459;  -15.255
298.124;  387.639;  340.248;  -22.063
298.722;  464.097;  419.149;  -14.796
299.321;  431.402;  377.482;  -10.466
299.919;  459.047;  410.080;  -10.979
300.518;  416.314;  368.337;  -12.077
301.116;  415.038;  370.383;  -13.509
301.715;  442.274;  390.100;  -11.939
302.313;  431.083;  382.345;  -15.424
302.911;  453.324;  409.207;  -19.833
303.509;  589.819;  543.847;   -3.567
304.108;  471.086;  423.019;   -9.553
304.706;  505.422;  452.293;   -8.582
305.304;  499.361;  460.774;  -12.348
305.902;  489.692;  441.800;  -14.411
306.500;  449.793;  404.342;   -7.194
307.098;  467.462;  424.328;   -9.322
307.696;  495.097;  457.530;  -19.192
308.294;  459.387;  419.528;   -9.736
308.892;  481.731;  441.888;  -15.482
309.490;  443.404;  397.807;  -14.107
310.088;  495.564;  463.266;  -15.862
310.686;  522.764;  480.333;  -10.781
311.284;  482.201;  445.100;  -14.878
311.882;  460.773;  422.933;   -9.948
312.480;  430.800;  400.225;  -15.503
313.078;  515.027;  475.435;  -17.262
313.675;  432.393;  394.542;   -3.694
314.273;  512.777;  482.288;  -18.246
314.871;  356.042;  328.213;  -15.190
315.468;  401.390;  369.507;  -12.633
316.066;  433.785;  402.504;   -5.765
316.664;  406.266;  380.819;  -14.317
317.261;  589.897;  553.581;   -8.677
317.859;  495.329;  465.282;  -11.804
318.456;  541.163;  506.913;   -3.107
