gmr_right
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  480.543;  409.495;    6.613
289.143;  397.382;  334.741;   14.216
289.742;  501.134;  438.471;   11.816
290.341;  475.673;  418.127;   -4.936
290.940;  440.780;  374.571;    0.852
291.538;  539.553;  486.444;    1.792
292.137;  479.079;  414.837;    6.262
292.736;  613.073;  548.261;    8.164
293.335;  443.242;  380.904;   -6.418
293.934;  463.614;  413.615;   -2.904
294.532;  654.090;  601.463;   -5.162
295.131;  516.375;  463.325;  -10.283
295.730;  501.403;  447.004;  -16.141
296.328;  479.813;  435.754;  -14.740
296.927;  477.555;  428.130;   -8.768
297.525;  475.665;  423.459;  -15.255
298.124;  391.344;  340.248;  -22.063
298.722;  469.924;  419.149;  -14.796
299.321;  427.652;  377.482;  -10.466
299.919;  456.679;  410.080;  -10.979
300.518;  419.573;  368.337;  -12.077
301.116;  416.632;  370.383;  -13.509
301.715;  447.493;  390.100;  -11.939
302.313;  431.985;  382.345;  -15.424
302.911;  458.561;  409.207;  -19.833
303.509;  595.132;  543.847;   -3.567
304.108;  477.274;  423.019;   -9.553
304.706;  506.262;  452.293;   -8.582
305.304;  513.144;  460.774;  -12.348
305.902;  486.750;  441.800;  -14.411
306.500;  456.166;  404.342;   -7.194
307.098;  476.634;  424.328;   -9.322
307.696;  503.878;  457.530;  -19.192
308.294;  462.822;  419.528;   -9.736
308.892;  485.099;  441.888;  -15.482
309.490;  447.826;  397.807;  -14.107
310.088;  509.655;  463.266;  -15.862
310.686;  522.012;  480.333;  -10.781
311.284;  488.904;  445.100;  -14.878
311.882;  462.466;  422.933;   -9.948
312.480;  445.628;  400.225;  -15.503
313.078;  521.703;  475.435;  -17.262
313.675;  436.732;  394.542;   -3.694
314.273;  520.212;  482.288;  -18.246
314.871;  367.426;  328.213;  -15.190
315.468;  419.895;  369.507;  -12.633
316.066;  445.959;  402.504;   -5.765
316.664;  420.053;  380.819;  -14.317
317.261;  601.466;  553.581;   -8.677
317.859;  505.263;  465.282;  -11.804
318.456;  550.089;  506.913;   -3.107
319.054;  517.191;  472.927;   -3.062
