source_left
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  513.138;  409.495;    6.613
289.143;  441.948;  334.741;   14.216
289.742;  537.513;  438.471;   11.816
290.341;  516.383;  418.127;   -4.936
290.940;  474.366;  374.571;    0.852
291.538;  575.256;  486.444;    1.792
292.137;  512.578;  414.837;    6.262
292.736;  651.083;  548.261;    8.164
293.335;  479.139;  380.904;   -6.418
293.934;  508.494;  413.615;   -2.904
294.532;  694.713;  601.463;   -5.162
295.131;  551.506;  463.325;  -10.283
295.730;  536.723;  447.004;  -16.141
296.328;  512.279;  435.754;  -14.740
296.927;  514.935;  428.130;   -8.768
297.525;  508.002;  423.459;  -15.255
298.124;  426.327;  340.248;  -22.063
298.722;  497.797;  419.149;  -14.796
299.321;  453.904;  377.482;  -10.466
299.919;  489.567;  410.080;  -10.979
300.518;  452.805;  368.337;  -12.077
301.116;  448.628;  370.383;  -13.509
301.715;  475.232;  390.100;  -11.939
302.313;  460.566;  382.345;  -15.424
302.911;  479.395;  409.207;  -19.833
303.509;  619.891;  543.847;   -3.567
304.108;  495.409;  423.019;   -9.553
304.706;  523.652;  452.293;   -8.582
305.304;  533.670;  460.774;  -12.348
305.902;  517.028;  441.800;  -14.411
306.500;  478.538;  404.342;   -7.194
307.098;  491.933;  424.328;   -9.322
307.696;  516.008;  457.530;  -19.192
308.294;  478.219;  419.528;   -9.736
308.892;  496.015;  441.888;  -15.482
309.490;  456.567;  397.807;  -14.107
310.088;  524.517;  463.266;  -15.862
310.686;  543.468;  480.333;  -10.781
311.284;  507.525;  445.100;  -14.878
311.882;  477.131;  422.933;   -9.948
312.480;  456.547;  400.225;  -15.503
313.078;  539.452;  475.435;  -17.262
313.675;  447.838;  394.542;   -3.694
314.273;  528.068;  482.288;  -18.246
314.871;  382.209;  328.213;  -15.190
315.468;  424.695;  369.507;  -12.633
316.066;  454.630;  402.504;   -5.765
316.664;  425.996;  380.819;  -14.317
317.261;  605.479;  553.581;   -8.677
317.859;  507.729;  465.282;  -11.804
318.456;  553.604;  506.913;   -3.107
319.054;  514.580;  472.927;   -3.062
