source_left
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  510.281;  409.495;    6.613
289.143;  432.987;  334.741;   14.216
289.742;  542.143;  438.471;   11.816
290.341;  511.732;  418.127;   -4.936
290.940;  465.986;  374.571;    0.852
291.538;  572.029;  486.444;    1.792
292.137;  514.206;  414.837;    6.262
292.736;  638.232;  548.261;    8.164
293.335;  469.743;  380.904;   -6.418
293.934;  499.869;  413.615;   -2.904
294.532;  683.538;  601.463;   -5.162
295.131;  540.007;  463.325;  -10.283
295.730;  525.598;  447.004;  -16.141
296.328;  506.266;  435.754;  -14.740
296.927;  501.903;  428.130;   -8.768
297.525;  501.439;  423.459;  -15.255
298.124;  407.966;  340.248;  -22.063
298.722;  492.816;  419.149;  -14.796
299.321;  452.239;  377.482;  -10.466
299.919;  476.481;  410.080;  -10.979
300.518;  440.373;  368.337;  -12.077
301.116;  440.369;  370.383;  -13.509
301.715;  468.712;  390.100;  -11.939
302.313;  459.540;  382.345;  -15.424
302.911;  473.890;  409.207;  -19.833
303.509;  609.170;  543.847;   -3.567
304.108;  498.175;  423.019;   -9.553
304.706;  525.542;  452.293;   -8.582
305.304;  521.883;  460.774;  -12.348
305.902;  512.943;  441.800;  -14.411
306.500;  474.586;  404.342;   -7.194
307.098;  490.899;  424.328;   -9.322
307.696;  507.933;  457.530;  -19.192
308.294;  482.217;  419.528;   -9.736
308.892;  504.687;  441.888;  -15.482
309.490;  458.861;  397.807;  -14.107
310.088;  521.201;  463.266;  -15.862
310.686;  542.400;  480.333;  -10.781
311.284;  509.293;  445.100;  -14.878
311.882;  480.150;  422.933;   -9.948
312.480;  451.889;  400.225;  -15.503
313.078;  539.145;  475.435;  -17.262
313.675;  454.619;  394.542;   -3.694
314.273;  538.564;  482.288;  -18.246
314.871;  385.992;  328.213;  -15.190
315.468;  429.756;  369.507;  -12.633
316.066;  463.396;  402.504;   -5.765
316.664;  432.885;  380.819;  -14.317
317.261;  613.350;  553.581;   -8.677
317.859;  518.787;  465.282;  -11.804
318.456;  557.450;  506.913;   -3.107
319.054;  524.312;  472.927;   -3.062
