gmr_left
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  468.214;  409.495;    6.613
289.143;  391.121;  334.741;   14.216
289.742;  498.418;  438.471;   11.816
290.341;  474.162;  418.127;   -4.936
290.940;  433.693;  374.571;    0.852
291.538;  541.766;  486.444;    1.792
292.137;  475.441;  414.837;    6.262
292.736;  609.962;  548.261;    8.164
293.335;  439.342;  380.904;   -6.418
293.934;  471.997;  413.615;   -2.904
294.532;  653.408;  601.463;   -5.162
295.131;  509.740;  463.325;  -10.283
295.730;  495.881;  447.004;  -16.141
296.328;  476.831;  435.754;  -14.740
296.927;  475.419;  428.130;   -8.768
297.525;  476.060;  423.459;  -15.255
298.124;  381.297;  340.248;  -22.063
298.722;  464.818;  419.149;  -14.796
299.321;  423.334;  377.482;  -10.466
299.919;  456.754;  410.080;  -10.979
300.518;  418.342;  368.337;  -12.077
301.116;  423.941;  370.383;  -13.509
301.715;  441.375;  390.100;  -11.939
302.313;  428.795;  382.345;  -15.424
302.911;  451.805;  409.207;  -19.833
303.509;  585.168;  543.847;   -3.567
304.108;  472.917;  423.019;   -9.553
304.706;  497.773;  452.293;   -8.582
305.304;  498.099;  460.774;  -12.348
305.902;  483.161;  441.800;  -14.411
306.500;  447.942;  404.342;   -7.194
307.098;  466.742;  424.328;   -9.322
307.696;  492.728;  457.530;  -19.192
308.294;  456.398;  419.528;   -9.736
308.892;  475.234;  441.888;  -15.482
309.490;  436.862;  397.807;  -14.107
310.088;  498.880;  463.266;  -15.862
310.686;  521.744;  480.333;  -10.781
311.284;  484.040;  445.100;  -14.878
311.882;  458.690;  422.933;   -9.948
312.480;  424.275;  400.225;  -15.503
313.078;  511.616;  475.435;  -17.262
313.675;  430.142;  394.542;   -3.694
314.273;  514.775;  482.288;  -18.246
314.871;  361.040;  328.213;  -15.190
315.468;  410.205;  369.507;  -12.633
316.066;  437.323;  402.504;   -5.765
316.664;  409.726;  380.819;  -14.317
317.261;  594.854;  553.581;   -8.677
317.859;  498.700;  465.282;  -11.804
318.456;  534.235;  506.913;   -3.107
319.054;  501.574;  472.927;   -3.062
