source_right
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  506.081;  409.495;    6.613
289.143;  430.342;  334.741;   14.216
289.742;  536.243;  438.471;   11.816
290.341;  512.921;  418.127;   -4.936
290.940;  462.491;  374.571;    0.852
291.538;  573.478;  486.444;    1.792
292.137;  514.307;  414.837;    6.262
292.736;  643.588;  548.261;    8.164
293.335;  467.231;  380.904;   -6.418
293.934;  497.975;  413.615;   -2.904
294.532;  690.680;  601.463;   -5.162
295.131;  544.239;  463.325;  -10.283
295.730;  524.778;  447.004;  -16.141
296.328;  507.050;  435.754;  -14.740
296.927;  505.729;  428.130;   -8.768
297.525;  507.301;  423.459;  -15.255
298.124;  410.532;  340.248;  -22.063
298.722;  492.372;  419.149;  -14.796
299.321;  455.244;  377.482;  -10.466
299.919;  481.074;  410.080;  -10.979
300.518;  442.721;  368.337;  -12.077
301.116;  442.068;  370.383;  -13.509
301.715;  465.890;  390.100;  -11.939
302.313;  450.811;  382.345;  -15.424
302.911;  476.741;  409.207;  -19.833
303.509;  611.234;  543.847;   -3.567
304.108;  492.647;  423.019;   -9.553
304.706;  519.316;  452.293;   -8.582
305.304;  520.949;  460.774;  -12.348
305.902;  511.385;  441.800;  -14.411
306.500;  471.618;  404.342;   -7.194
307.098;  482.294;  424.328;   -9.322
307.696;  514.099;  457.530;  -19.192
308.294;  475.246;  419.528;   -9.736
308.892;  495.584;  441.888;  -15.482
309.490;  455.215;  397.807;  -14.107
310.088;  521.004;  463.266;  -15.862
310.686;  536.258;  480.333;  -10.781
311.284;  497.445;  445.100;  -14.878
311.882;  477.885;  422.933;   -9.948
312.480;  451.274;  400.225;  -15.503
313.078;  533.503;  475.435;  -17.262
313.675;  454.118;  394.542;   -3.694
314.273;  528.132;  482.288;  -18.246
314.871;  375.648;  328.213;  -15.190
315.468;  414.674;  369.507;  -12.633
316.066;  451.348;  402.504;   -5.765
316.664;  423.962;  380.819;  -14.317
317.261;  605.785;  553.581;   -8.677
317.859;  505.200;  465.282;  -11.804
318.456;  553.380;  506.913;   -3.107
319.054;  512.172;  472.927;   -3.062
