source_right
Integration time [ms]: 300.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544;  500.323;  409.495;    6.613
289.143;  430.857;  334.741;   14.216
289.742;  540.846;  438.471;   11.816
290.341;  508.995;  418.127;   -4.936
290.940;  467.513;  374.571;    0.852
291.538;  569.460;  486.444;    1.792
292.137;  517.639;  414.837;    6.262
292.736;  643.862;  548.261;    8.164
293.335;  470.801;  380.904;   -6.418
293.934;  502.294;  413.615;   -2.904
294.532;  686.497;  601.463;   -5.162
295.131;  541.123;  463.325;  -10.283
295.730;  526.515;  447.004;  -16.141
296.328;  506.615;  435.754;  -14.740
296.927;  502.217;  428.130;   -8.768
297.525;  507.388;  423.459;  -15.255
298.124;  408.940;  340.248;  -22.063
298.722;  494.530;  419.149;  -14.796
299.321;  454.751;  377.482;  -10.466
299.919;  481.924;  410.080;  -10.979
300.518;  438.547;  368.337;  -12.077
301.116;  443.581;  370.383;  -13.509
301.715;  469.993;  390.100;  -11.939
302.313;  446.320;  382.345;  -15.424
302.911;  469.561;  409.207;  -19.833
303.509;  615.650;  543.847;   -3.567
304.108;  492.822;  423.019;   -9.553
304.706;  524.923;  452.293;   -8.582
305.304;  523.423;  460.774;  -12.348
305.902;  512.291;  441.800;  -14.411
306.500;  475.663;  404.342;   -7.194
307.098;  484.543;  424.328;   -9.322
307.696;  511.575;  457.530;  -19.192
308.294;  476.394;  419.528;   -9.736
308.892;  497.634;  441.888;  -15.482
309.490;  453.903;  397.807;  -14.107
310.088;  517.374;  463.266;  -15.862
310.686;  539.279;  480.333;  -10.781
311.284;  499.902;  445.100;  -14.878
311.882;  475.990;  422.933;   -9.948
312.480;  450.760;  400.225;  -15.503
313.078;  536.451;  475.435;  -17.262
313.675;  445.730;  394.542;   -3.694
314.273;  522.768;  482.288;  -18.246
314.871;  373.064;  328.213;  -15.190
315.468;  421.461;  369.507;  -12.633
316.066;  453.906;  402.504;   -5.765
316.664;  428.655;  380.819;  -14.317
317.261;  604.991;  553.581;   -8.677
317.859;  515.860;  465.282;  -11.804
318.456;  551.959;  506.913;   -3.107
319.054;  509.585;  472.927;   -3.062
