gmr_left
Integration time [ms]: 2152.735
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 3266.594; 3108.699;    6.613
289.143; 2695.277; 2535.224;   14.216
289.742; 3469.038; 3309.371;   11.816
290.341; 3328.322; 3178.834;   -4.936
290.940; 3044.763; 2883.297;    0.852
291.538; 3817.151; 3676.572;    1.792
292.137; 3369.910; 3225.295;    6.262
292.736; 4380.722; 4214.734;    8.164
293.335; 3119.835; 2957.363;   -6.418
293.934; 3333.914; 3189.036;   -2.904
294.532; 4691.124; 4544.178;   -5.162
295.131; 3724.180; 3567.669;  -10.283
295.730; 3599.049; 3461.108;  -16.141
296.328; 3487.760; 3341.285;  -14.740
296.927; 3436.661; 3299.035;   -8.768
297.525; 3434.570; 3291.685;  -15.255
298.124; 2809.245; 2668.372;  -22.063
298.722; 3357.521; 3216.651;  -14.796
299.321; 3084.393; 2956.017;  -10.466
299.919; 3323.904; 3183.860;  -10.979
300.518; 3030.715; 2897.000;  -12.077
301.116; 3020.373; 2886.998;  -13.509
301.715; 3209.041; 3090.855;  -11.939
302.313; 3109.991; 2976.882;  -15.424
302.911; 3305.796; 3168.427;  -19.833
303.509; 4306.021; 4169.813;   -3.567
304.108; 3411.521; 3297.328;   -9.553
304.706; 3650.051; 3501.974;   -8.582
305.304; 3683.195; 3566.269;  -12.348
305.902; 3528.481; 3397.120;  -14.411
306.500; 3276.023; 3160.894;   -7.194
307.098; 3398.183; 3278.060;   -9.322
307.696; 3627.144; 3488.280;  -19.192
308.294; 3331.863; 3218.902;   -9.736
308.892; 3463.371; 3350.766;  -15.482
309.490; 3214.234; 3084.987;  -14.107
310.088; 3682.005; 3548.150;  -15.862
310.686; 3776.302; 3661.836;  -10.781
311.284; 3529.804; 3417.191;  -14.878
311.882; 3308.325; 3204.307;   -9.948
312.480; 3178.047; 3059.570;  -15.503
313.078; 3805.145; 3697.003;  -17.262
313.675; 3143.673; 3024.844;   -3.694
314.273; 3752.747; 3641.043;  -18.246
314.871; 2609.786; 2519.358;  -15.190
315.468; 2983.346; 2876.877;  -12.633
316.066; 3184.983; 3089.602;   -5.765
