gmr_right
Integration time [ms]: 2152.735
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 3207.411; 3108.699;    6.613
289.143; 2642.200; 2535.224;   14.216
289.742; 3431.782; 3309.371;   11.816
290.341; 3263.305; 3178.834;   -4.936
290.940; 2996.600; 2883.297;    0.852
291.538; 3776.350; 3676.572;    1.792
292.137; 3334.501; 3225.295;    6.262
292.736; 4326.205; 4214.734;    8.164
293.335; 3071.843; 2957.363;   -6.418
293.934; 3291.934; 3189.036;   -2.904
294.532; 4654.977; 4544.178;   -5.162
295.131; 3677.809; 3567.669;  -10.283
295.730; 3556.434; 3461.108;  -16.141
296.328; 3431.373; 3341.285;  -14.740
296.927; 3411.772; 3299.035;   -8.768
297.525; 3397.043; 3291.685;  -15.255
298.124; 2776.727; 2668.372;  -22.063
298.722; 3337.946; 3216.651;  -14.796
299.321; 3044.589; 2956.017;  -10.466
299.919; 3291.382; 3183.860;  -10.979
300.518; 2992.936; 2897.000;  -12.077
301.116; 3000.607; 2886.998;  -13.509
301.715; 3189.225; 3090.855;  -11.939
302.313; 3090.493; 2976.882;  -15.424
302.911; 3259.464; 3168.427;  -19.833
303.509; 4283.711; 4169.813;   -3.567
304.108; 3369.665; 3297.328;   -9.553
304.706; 3619.187; 3501.974;   -8.582
305.304; 3650.338; 3566.269;  -12.348
305.902; 3491.658; 3397.120;  -14.411
306.500; 3248.618; 3160.894;   -7.194
307.098; 3361.092; 3278.060;   -9.322
307.696; 3581.704; 3488.280;  -19.192
308.294; 3317.375; 3218.902;   -9.736
308.892; 3467.350; 3350.766;  -15.482
309.490; 3177.411; 3084.987;  -14.107
310.088; 3651.615; 3548.150;  -15.862
310.686; 3762.152; 3661.836;  -10.781
311.284; 3508.839; 3417.191;  -14.878
311.882; 3281.482; 3204.307;   -9.948
312.480; 3148.237; 3059.570;  -15.503
313.078; 3795.634; 3697.003;  -17.262
313.675; 3120.118; 3024.844;   -3.694
314.273; 3743.618; 3641.043;  -18.246
314.871; 2604.202; 2519.358;  -15.190
315.468; 2964.364; 2876.877;  -12.633
316.066; 3168.315; 3089.602;   -5.765
