source_left
Integration time [ms]: 2152.735
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 3333.800; 3108.699;    6.613
289.143; 2765.255; 2535.224;   14.216
289.742; 3552.531; 3309.371;   11.816
290.341; 3389.766; 3178.834;   -4.936
290.940; 3087.429; 2883.297;    0.852
291.538; 3888.625; 3676.572;    1.792
292.137; 3442.352; 3225.295;    6.262
292.736; 4436.266; 4214.734;    8.164
293.335; 3176.780; 2957.363;   -6.418
293.934; 3398.908; 3189.036;   -2.904
294.532; 4767.225; 4544.178;   -5.162
295.131; 3783.220; 3567.669;  -10.283
295.730; 3633.862; 3461.108;  -16.141
296.328; 3523.718; 3341.285;  -14.740
296.927; 3498.737; 3299.035;   -8.768
297.525; 3476.284; 3291.685;  -15.255
298.124; 2844.302; 2668.372;  -22.063
298.722; 3415.853; 3216.651;  -14.796
299.321; 3151.154; 2956.017;  -10.466
299.919; 3379.759; 3183.860;  -10.979
300.518; 3087.274; 2897.000;  -12.077
301.116; 3081.482; 2886.998;  -13.509
301.715; 3269.075; 3090.855;  -11.939
302.313; 3156.015; 2976.882;  -15.424
302.911; 3352.531; 3168.427;  -19.833
303.509; 4355.193; 4169.813;   -3.567
304.108; 3472.323; 3297.328;   -9.553
304.706; 3695.781; 3501.974;   -8.582
305.304; 3715.062; 3566.269;  -12.348
305.902; 3574.789; 3397.120;  -14.411
306.500; 3326.442; 3160.894;   -7.194
307.098; 3444.507; 3278.060;   -9.322
307.696; 3654.482; 3488.280;  -19.192
308.294; 3371.875; 3218.902;   -9.736
308.892; 3521.883; 3350.766;  -15.482
309.490; 3238.997; 3084.987;  -14.107
310.088; 3712.108; 3548.150;  -15.862
310.686; 3818.090; 3661.836;  -10.781
311.284; 3568.539; 3417.191;  -14.878
311.882; 3349.890; 3204.307;   -9.948
312.480; 3207.201; 3059.570;  -15.503
313.078; 3843.082; 3697.003;  -17.262
313.675; 3178.592; 3024.844;   -3.694
314.273; 3787.781; 3641.043;  -18.246
314.871; 2641.975; 2519.358;  -15.190
315.468; 3003.331; 2876.877;  -12.633
316.066; 3226.108; 3089.602;   -5.765
