source_right
Integration time [ms]: 2152.735
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 3251.834; 3108.699;    6.613
289.143; 2680.042; 2535.224;   14.216
289.742; 3462.964; 3309.371;   11.816
290.341; 3324.242; 3178.834;   -4.936
290.940; 3026.017; 2883.297;    0.852
291.538; 3807.264; 3676.572;    1.792
292.137; 3356.798; 3225.295;    6.262
292.736; 4367.742; 4214.734;    8.164
293.335; 3095.347; 2957.363;   -6.418
293.934; 3322.886; 3189.036;   -2.904
294.532; 4704.606; 4544.178;   -5.162
295.131; 3719.128; 3567.669;  -10.283
295.730; 3588.869; 3461.108;  -16.141
296.328; 3461.748; 3341.285;  -14.740
296.927; 3437.940; 3299.035;   -8.768
297.525; 3428.929; 3291.685;  -15.255
298.124; 2803.263; 2668.372;  -22.063
298.722; 3356.646; 3216.651;  -14.796
299.321; 3098.376; 2956.017;  -10.466
299.919; 3320.480; 3183.860;  -10.979
300.518; 3020.973; 2897.000;  -12.077
301.116; 3026.729; 2886.998;  -13.509
301.715; 3219.770; 3090.855;  -11.939
302.313; 3122.767; 2976.882;  -15.424
302.911; 3313.658; 3168.427;  -19.833
303.509; 4309.419; 4169.813;   -3.567
304.108; 3404.352; 3297.328;   -9.553
304.706; 3640.586; 3501.974;   -8.582
305.304; 3686.703; 3566.269;  -12.348
305.902; 3536.321; 3397.120;  -14.411
306.500; 3268.719; 3160.894;   -7.194
307.098; 3396.775; 3278.060;   -9.322
307.696; 3614.833; 3488.280;  -19.192
308.294; 3324.549; 3218.902;   -9.736
308.892; 3459.929; 3350.766;  -15.482
309.490; 3224.022; 3084.987;  -14.107
310.088; 3664.192; 3548.150;  -15.862
310.686; 3787.001; 3661.836;  -10.781
311.284; 3528.387; 3417.191;  -14.878
311.882; 3316.017; 3204.307;   -9.948
312.480; 3198.137; 3059.570;  -15.503
313.078; 3819.720; 3697.003;  -17.262
313.675; 3168.469; 3024.844;   -3.694
314.273; 3780.082; 3641.043;  -18.246
314.871; 2620.541; 2519.358;  -15.190
315.468; 2995.858; 2876.877;  -12.633
316.066; 3202.162; 3089.602;   -5.765
