gmr_left
Integration time [ms]: 2924.932
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 4071.432; 4004.872;    6.613
289.143; 3346.296; 3299.256;   14.216
289.742; 4342.632; 4251.540;   11.816
290.341; 4133.098; 4111.361;   -4.936
290.940; 3782.997; 3777.373;    0.852
291.538; 4784.523; 4707.574;    1.792
292.137; 4223.459; 4170.812;    6.262
292.736; 5519.397; 5393.361;    8.164
293.335; 3866.272; 3778.989;   -6.418
293.934; 4168.398; 4117.811;   -2.904
294.532; 5917.634; 5801.267;   -5.162
295.131; 4660.742; 4640.547;  -10.283
295.730; 4506.064; 4500.288;  -16.141
296.328; 4352.485; 4365.994;  -14.740
296.927; 4318.820; 4342.634;   -8.768
297.525; 4312.738; 4336.466;  -15.255
298.124; 3481.852; 3531.862;  -22.063
298.722; 4198.107; 4214.137;  -14.796
299.321; 3868.132; 3899.753;  -10.466
299.919; 4157.737; 4130.490;  -10.979
300.518; 3791.476; 3843.040;  -12.077
301.116; 3762.475; 3792.590;  -13.509
301.715; 4029.330; 4046.269;  -11.939
302.313; 3875.197; 3893.503;  -15.424
302.911; 4119.787; 4135.330;  -19.833
303.509; 5448.440; 5368.340;   -3.567
304.108; 4255.390; 4284.731;   -9.553
304.706; 4581.483; 4613.959;   -8.582
305.304; 4618.585; 4704.674;  -12.348
305.902; 4401.326; 4461.188;  -14.411
306.500; 4098.209; 4117.403;   -7.194
307.098; 4241.946; 4232.906;   -9.322
307.696; 4527.034; 4587.237;  -19.192
308.294; 4156.723; 4212.946;   -9.736
308.892; 4338.057; 4331.528;  -15.482
309.490; 4009.964; 4051.140;  -14.107
310.088; 4616.172; 4668.568;  -15.862
310.686; 4745.951; 4711.803;  -10.781
311.284; 4458.121; 4510.912;  -14.878
311.882; 4118.796; 4139.527;   -9.948
312.480; 3969.554; 3988.955;  -15.503
313.078; 4796.236; 4791.284;  -17.262
313.675; 3925.309; 3884.403;   -3.694
314.273; 4700.721; 4709.361;  -18.246
314.871; 3262.533; 3276.640;  -15.190
315.468; 3738.837; 3754.330;  -12.633
316.066; 3994.779; 4052.890;   -5.765
