gmr_right
Integration time [ms]: 2924.932
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 4075.717; 4004.872;    6.613
289.143; 3329.408; 3299.256;   14.216
289.742; 4336.290; 4251.540;   11.816
290.341; 4139.887; 4111.361;   -4.936
290.940; 3778.826; 3777.373;    0.852
291.538; 4770.446; 4707.574;    1.792
292.137; 4218.282; 4170.812;    6.262
292.736; 5499.787; 5393.361;    8.164
293.335; 3883.034; 3778.989;   -6.418
293.934; 4169.532; 4117.811;   -2.904
294.532; 5899.446; 5801.267;   -5.162
295.131; 4680.467; 4640.547;  -10.283
295.730; 4507.813; 4500.288;  -16.141
296.328; 4346.002; 4365.994;  -14.740
296.927; 4296.138; 4342.634;   -8.768
297.525; 4283.565; 4336.466;  -15.255
298.124; 3502.345; 3531.862;  -22.063
298.722; 4195.798; 4214.137;  -14.796
299.321; 3864.806; 3899.753;  -10.466
299.919; 4151.092; 4130.490;  -10.979
300.518; 3796.047; 3843.040;  -12.077
301.116; 3780.752; 3792.590;  -13.509
301.715; 4018.655; 4046.269;  -11.939
302.313; 3862.431; 3893.503;  -15.424
302.911; 4141.998; 4135.330;  -19.833
303.509; 5430.678; 5368.340;   -3.567
304.108; 4247.289; 4284.731;   -9.553
304.706; 4550.296; 4613.959;   -8.582
305.304; 4647.364; 4704.674;  -12.348
305.902; 4413.953; 4461.188;  -14.411
306.500; 4110.021; 4117.403;   -7.194
307.098; 4248.531; 4232.906;   -9.322
307.696; 4531.558; 4587.237;  -19.192
308.294; 4171.807; 4212.946;   -9.736
308.892; 4343.809; 4331.528;  -15.482
309.490; 4004.207; 4051.140;  -14.107
310.088; 4593.234; 4668.568;  -15.862
310.686; 4737.861; 4711.803;  -10.781
311.284; 4445.550; 4510.912;  -14.878
311.882; 4122.708; 4139.527;   -9.948
312.480; 3983.785; 3988.955;  -15.503
313.078; 4795.553; 4791.284;  -17.262
313.675; 3922.671; 3884.403;   -3.694
314.273; 4697.245; 4709.361;  -18.246
314.871; 3251.807; 3276.640;  -15.190
315.468; 3734.748; 3754.330;  -12.633
316.066; 3982.682; 4052.890;   -5.765
