source_left
Integration time [ms]: 2924.932
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 4097.528; 4004.872;    6.613
289.143; 3381.539; 3299.256;   14.216
289.742; 4382.772; 4251.540;   11.816
290.341; 4168.679; 4111.361;   -4.936
290.940; 3807.206; 3777.373;    0.852
291.538; 4822.389; 4707.574;    1.792
292.137; 4262.591; 4170.812;    6.262
292.736; 5551.779; 5393.361;    8.164
293.335; 3897.155; 3778.989;   -6.418
293.934; 4198.751; 4117.811;   -2.904
294.532; 5946.426; 5801.267;   -5.162
295.131; 4712.819; 4640.547;  -10.283
295.730; 4527.927; 4500.288;  -16.141
296.328; 4375.229; 4365.994;  -14.740
296.927; 4331.020; 4342.634;   -8.768
297.525; 4333.280; 4336.466;  -15.255
298.124; 3513.368; 3531.862;  -22.063
298.722; 4212.977; 4214.137;  -14.796
299.321; 3893.226; 3899.753;  -10.466
299.919; 4184.333; 4130.490;  -10.979
300.518; 3800.721; 3843.040;  -12.077
301.116; 3792.900; 3792.590;  -13.509
301.715; 4031.598; 4046.269;  -11.939
302.313; 3897.998; 3893.503;  -15.424
302.911; 4153.968; 4135.330;  -19.833
303.509; 5436.272; 5368.340;   -3.567
304.108; 4282.985; 4284.731;   -9.553
304.706; 4597.073; 4613.959;   -8.582
305.304; 4648.600; 4704.674;  -12.348
305.902; 4437.610; 4461.188;  -14.411
306.500; 4129.032; 4117.403;   -7.194
307.098; 4257.388; 4232.906;   -9.322
307.696; 4525.904; 4587.237;  -19.192
308.294; 4189.807; 4212.946;   -9.736
308.892; 4368.440; 4331.528;  -15.482
309.490; 4028.088; 4051.140;  -14.107
310.088; 4632.620; 4668.568;  -15.862
310.686; 4757.709; 4711.803;  -10.781
311.284; 4466.801; 4510.912;  -14.878
311.882; 4152.901; 4139.527;   -9.948
312.480; 3976.982; 3988.955;  -15.503
313.078; 4818.886; 4791.284;  -17.262
313.675; 3944.781; 3884.403;   -3.694
314.273; 4719.773; 4709.361;  -18.246
314.871; 3259.244; 3276.640;  -15.190
315.468; 3742.468; 3754.330;  -12.633
316.066; 4001.311; 4052.890;   -5.765
