source
Integration time [ms]: 2924.932
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7414430SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

288.544; 4080.442; 4004.872;    6.613
289.143; 3355.611; 3299.256;   14.216
289.742; 4351.983; 4251.540;   11.816
290.341; 4159.296; 4111.361;   -4.936
290.940; 3801.471; 3777.373;    0.852
291.538; 4783.030; 4707.574;    1.792
292.137; 4235.497; 4170.812;    6.262
292.736; 5535.146; 5393.361;    8.164
293.335; 3881.220; 3778.989;   -6.418
293.934; 4187.665; 4117.811;   -2.904
294.532; 5916.804; 5801.267;   -5.162
295.131; 4684.934; 4640.547;  -10.283
295.730; 4530.095; 4500.288;  -16.141
296.328; 4352.976; 4365.994;  -14.740
296.927; 4300.356; 4342.634;   -8.768
297.525; 4302.749; 4336.466;  -15.255
298.124; 3489.094; 3531.862;  -22.063
298.722; 4193.300; 4214.137;  -14.796
299.321; 3867.099; 3899.753;  -10.466
299.919; 4168.149; 4130.490;  -10.979
300.518; 3781.648; 3843.040;  -12.077
301.116; 3770.179; 3792.590;  -13.509
301.715; 4018.700; 4046.269;  -11.939
302.313; 3884.307; 3893.503;  -15.424
302.911; 4125.058; 4135.330;  -19.833
303.509; 5407.937; 5368.340;   -3.567
304.108; 4265.726; 4284.731;   -9.553
304.706; 4577.746; 4613.959;   -8.582
305.304; 4627.892; 4704.674;  -12.348
305.902; 4399.515; 4461.188;  -14.411
306.500; 4100.827; 4117.403;   -7.194
307.098; 4241.871; 4232.906;   -9.322
307.696; 4515.498; 4587.237;  -19.192
308.294; 4163.539; 4212.946;   -9.736
308.892; 4356.939; 4331.528;  -15.482
309.490; 4006.178; 4051.140;  -14.107
310.088; 4592.125; 4668.568;  -15.862
310.686; 4721.364; 4711.803;  -10.781
311.284; 4444.608; 4510.912;  -14.878
311.882; 4101.207; 4139.527;   -9.948
312.480; 3956.604; 3988.955;  -15.503
313.078; 4767.603; 4791.284;  -17.262
313.675; 3930.077; 3884.403;   -3.694
314.273; 4689.328; 4709.361;  -18.246
314.871; 3236.912; 3276.640;  -15.190
315.468; 3704.508; 3754.330;  -12.633
316.066; 3984.986; 4052.890;   -5.765
